GivenName,MiddleInitial,Surname,StreetAddress,City,ZipCode,EmailAddress,TelephoneNumber,GUID,Latitude,Longitude,Kilograms,Centimeters,Company,Occupation
Phillip,V,Rouse,"2034 Tail Ends Road","Green Bay",54303,PhillipVRouse@cuvox.de,920-617-9014,c16c713d-ce60-4835-a780-177be48bc5e5,44.598103,-88.131232,73.6,182,"Dynatronics Accessories","Tile installer"
Rosa,M,Hood,"3568 Thompson Street","Los Angeles",90017,RosaMHood@jourrapide.com,562-678-0550,6d035d16-d7d5-4181-88b7-ef0ce80ab916,34.119808,-118.336804,73.3,164,"Red Fox Tavern","General practitioner"
Shawnta,A,Dinardo,"3005 Hamilton Drive","Ellicott City",21042,ShawntaADinardo@superrito.com,410-203-6909,16bc3451-f030-48ea-8fb0-c8219a37b437,39.359257,-76.84594,59.3,155,"Rivera Property Maintenance","Mechanical engineer"
Huey,M,Ruth,"3755 Saints Alley",Zephyrhills,33541,HueyMRuth@superrito.com,813-715-0360,40392ef5-db62-475e-a36e-40e266e21138,28.287653,-82.307606,101.8,182,Perisolution,"Oxy-gas cutter"
Helen,B,Myrick,"282 Veltri Drive",Kokhonak,99503,HelenBMyrick@dayrep.com,907-282-5362,b2d43292-3aa0-4146-a225-c05a754d39c7,59.472195,-154.856057,97.0,153,"Paper Cutter","Department manager"
Alma,J,Luce,"589 Simpson Street",Secor,61771,AlmaJLuce@superrito.com,309-744-3897,32554c35-e70e-4d33-a1cf-53f8bec7d222,40.632037,-89.049671,60.8,174,"Olson Electronics","Music instructor"
Gloria,H,Ross,"4694 Hinkle Deegan Lake Road",Allen,41601,GloriaHRoss@fleckens.hu,606-975-7291,ad95516c-329c-488c-9fad-5b45d87e1205,37.564951,-82.686825,60.5,166,"Knockout Kickboxing","Brake repairer"
Valerie,C,King,"2771 Allison Avenue",Norfolk,23502,ValerieCKing@einrot.com,757-537-0557,18bb4265-0fd2-40e0-bd98-b62cf6c0899d,36.79353,-76.301768,76.7,165,"Child World","Food and tobacco roasting, baking, and drying machine operator"
Charles,R,Simons,"3361 Pinnickinick Street",Bellingham,98225,CharlesRSimons@fleckens.hu,360-734-1511,cf6ca78a-5763-47f0-bbbb-a5fd33a144be,48.705175,-122.388435,103.5,177,"Leo's Stereo","Product designer"
Miriam,D,Rodriguez,"395 Jessie Street",Radnor,43066,MiriamDRodriguez@cuvox.de,740-595-9089,d7ffdf3b-343e-4e41-abb3-ca42a0cd314b,40.335525,-83.234485,64.1,167,"Audio Visions","Education planner"
Celia,K,Carlson,"4142 Dola Mine Road",Raleigh,27609,CeliaKCarlson@cuvox.de,919-412-6102,67f0beb8-054f-4ccd-80d9-93b9e7a443bb,35.912579,-78.599408,79.5,173,Monsource,"Ceramic engineer"
Nathan,T,Rodriguez,"3888 West Fork Drive","Fort Lauderdale",33308,NathanTRodriguez@einrot.com,954-507-0834,79020759-c9a6-4e69-93ae-64620850fdd2,26.251756,-80.112066,98.4,175,"Huffman and Boyle","Leasing consultant"
James,K,Fitzsimmons,"3321 Walton Street",Provo,84606,JamesKFitzsimmons@gustr.com,801-375-9215,1a697249-141c-4cb7-9ecb-25a556c6f680,40.189528,-111.646499,57.4,182,Monlinks,"Outdoor power equipment mechanic"
Charles,M,Begay,"1915 Don Jackson Lane",Honolulu,96826,CharlesMBegay@gustr.com,808-952-9215,ddf8e74c-4615-4e81-9403-6a20e9928354,21.252415,-157.860235,97.3,175,"Rack N Sack",Paperhanger
Charlie,E,Lopez,"3365 Steele Street",Chicago,60605,CharlieELopez@gustr.com,630-720-6738,4e05392f-8e03-410e-a511-749ab04b4eeb,41.930324,-87.664734,88.4,183,"Harvest Foods","Histology technician"
Alberta,N,Crank,"2456 Cerullo Road",Louisville,40299,AlbertaNCrank@armyspy.com,502-417-9057,34d4ea4b-6d87-45f1-a912-633360dbcfbd,38.225628,-85.463657,79.0,161,"National Record Mart","Postsecondary career-technical teacher"
Jennifer,A,Merchant,"1814 Illinois Avenue",Gresham,97030,JenniferAMerchant@gustr.com,503-669-9859,078284ee-8e15-4645-9518-d75211c5c21d,45.46021,-122.429319,66.2,165,"On Cue","Certified registered nurse anesthetist"
James,J,Clark,"1771 Hamilton Drive","Port Arthur",77640,JamesJClark@armyspy.com,409-971-8527,bf253046-e03d-42e7-9bcc-63703bc21de9,29.808568,-93.977841,108.1,175,"Whitlocks Auto Supply","Media specialist"
Oscar,S,McDonald,"1055 Simpson Square",Stillwater,74074,OscarSMcDonald@fleckens.hu,580-663-6871,03e8bfed-b9cc-4a88-a708-37ef146724c9,35.989479,-97.104329,91.3,178,"New World","CART provider"
Beverly,F,Green,"4827 Mandan Road",Sikeston,63801,BeverlyFGreen@dayrep.com,573-872-9193,af28ca77-9a9d-4142-9f30-d09da8103636,36.97713,-89.592674,96.9,165,"The Serendipity Dip","Cooking instructor"
Wanda,E,Flynn,"559 Wilmar Farm Road","Annapolis Junction",20701,WandaEFlynn@einrot.com,240-338-4444,237792f2-6312-4737-864a-f2838d546f6d,39.098678,-76.78565,85.0,168,"Asian Solutions","Bookmobile driver"
Mary,V,Smith,"3771 Boundary Street",Jacksonville,32202,MaryVSmith@cuvox.de,904-613-1918,84beca68-f12c-43ab-9491-12f6984eff16,30.406638,-81.679112,87.4,156,"Golf Augusta Pro Shops","Operations analyst"
Tina,J,McGinnis,"667 Burnside Court",Phoenix,85003,TinaJMcGinnis@cuvox.de,602-357-6383,fa4c7f8b-5e52-4294-bf6a-dfaee03217c2,33.478889,-112.096081,94.2,155,"Auto Palace","Mental health counselor"
Lisa,K,Rioux,"427 Harron Drive",Baltimore,21202,LisaKRioux@superrito.com,443-526-4981,b3c4ee1c-4751-45bc-904c-0ec67781a663,39.272207,-76.520354,92.3,163,"Action Auto","Lens grinder"
Annette,M,Scoles,"796 Broad Street",Brilliant,35548,AnnetteMScoles@dayrep.com,205-465-9723,3fd9c1f2-12d5-43ec-8162-e730dba2e4e9,34.091675,-87.681518,79.1,163,"Lindsley's Lumber","Palliative care nurse"
Gustavo,L,Shepherd,"4139 Delaware Avenue",Sausalito,94965,GustavoLShepherd@cuvox.de,415-332-1297,3628c5d1-9a2a-4857-9b85-bd03dd35db91,37.804038,-122.545857,71.7,168,Lazysize,"Time and attendance clerk"
Stephen,N,Snoddy,"2941 James Martin Circle",Columbus,43201,StephenNSnoddy@fleckens.hu,614-452-9315,65d1aa73-78dc-4172-940b-a7312f5c72a9,39.90326,-82.980638,95.9,176,"Hit or Miss","Electronic equipment installer"
James,M,Daniels,"1004 Briarwood Road",Fordland,65652,JamesMDaniels@fleckens.hu,417-767-1017,55be5f9e-84f3-40ba-8859-5d9d94aaef2f,37.053851,-92.916991,74.9,174,"Nutri G","Gynecology nurse"
Edward,K,Henry,"3654 C Street",Boston,02199,EdwardKHenry@armyspy.com,508-408-2707,1104d1ce-b19f-4ca3-80f1-570be560f096,42.367832,-71.046742,91.2,185,"Exact Realty","Recreational vehicle service technician"
Carol,T,Andersen,"2241 Carolyns Circle",Dallas,75248,CarolTAndersen@cuvox.de,214-704-3177,ce13b595-cd7d-4a6a-8a7b-9fe0920f21fd,32.947967,-96.824595,86.0,160,Newhair,"Professional sports scout"
Lawrence,J,Carter,"4619 Rubaiyat Road","Grand Rapids",49503,LawrenceJCarter@rhyta.com,231-672-5589,2f69e8a1-ac89-429e-b1d5-1500c08b69f8,42.907456,-85.749914,79.8,184,"K's Merchandise","Electromechanical equipment assembler"
Julie,E,Huey,"315 Sunny Day Drive",Tustin,92680,JulieEHuey@jourrapide.com,714-832-4774,da98dd47-1eea-40ee-ac6b-ec22c46dc639,33.719153,-117.798784,76.9,169,"Asian Fusion","Textile machine operator"
Sally,Q,Little,"1136 Lena Lane",Eddiceton,39634,SallyQLittle@rhyta.com,601-532-5582,9aa03974-1630-4661-bdc0-d37ef1a3e3e3,31.542605,-90.883282,70.1,153,Sportmart,Nutritionist
Robin,J,Hunt,"2139 Amethyst Drive",Lansing,48933,RobinJHunt@dayrep.com,517-281-6920,2457b128-3415-420b-96ae-99b600488b1d,42.825219,-84.649991,97.0,158,"Omni Tech",Applicator
Juan,A,Spencer,"2288 Bryan Street",Greensboro,27455,JuanASpencer@einrot.com,336-288-0953,99bd0f14-8d92-4ce4-bc50-03d117f47fdd,36.149818,-79.75915,67.6,166,Practi-Plan,"Telephone installer"
Bernard,I,Pelaez,"446 Rardin Drive","Santa Clara",95050,BernardIPelaez@gustr.com,650-683-5165,63235a10-ec6a-4f71-8c57-b6b77e981bbd,37.345332,-121.929808,69.0,177,Sandy's,"Occupational health and safety inspector"
Mary,M,Tuten,"4075 Custer Street",Smethport,16749,MaryMTuten@gustr.com,814-887-8731,214c265c-1d91-4c3c-b82c-188606e4017e,41.686348,-78.520471,99.0,151,Jafco,"Emergency care nurse"
Patrick,J,Beaver,"4668 Owen Lane","Fort Myers",33901,PatrickJBeaver@gustr.com,239-253-9935,b3849db1-c726-48e4-ae2f-0abfd5706115,26.623916,-81.88914,114.1,167,Maxi-Tech,"Marine surveyor"
Michael,M,Clark,"2905 Chatham Way",Frederick,21701,MichaelMClark@fleckens.hu,240-575-4065,8bcf4bc9-bbcf-4ce6-98d7-12a832303166,39.42268,-77.335772,68.9,168,Planetbiz,"Retail salesperson"
Earl,R,Taylor,"3567 Roguski Road",Shreveport,71101,EarlRTaylor@rhyta.com,318-267-0821,db5573a1-32b2-4119-9d61-2b36f2da36b4,32.579548,-93.669763,98.3,176,Erlebacher's,Paleomagnetist
Willie,J,Bates,"4306 Jehovah Drive",Roanoke,24019,WillieJBates@einrot.com,540-529-0815,88734a91-5ff2-4584-9390-076c1cb22fc6,37.41286,-79.993583,49.7,160,"Superior Interactive",Sampler
Jonathan,S,Grant,"3753 Lords Way",Brownsville,38012,JonathanSGrant@teleworm.us,731-772-1402,7a2bf207-21d6-4d17-b2f5-306ccddb6854,35.603393,-89.296263,87.7,178,"Miller & Rhoads","Retail salesperson"
Edythe,R,Heater,"4496 Honeysuckle Lane",Olympia,98501,EdytheRHeater@gustr.com,360-556-4079,8625a6b0-43bb-4571-8010-2a05bd15ab45,47.049564,-122.867414,98.1,168,"L' Fish","News camera operator"
Jack,D,Juan,"4634 Locust View Drive",Oakland,94612,JackDJuan@rhyta.com,415-907-9128,8008cf55-1f11-4320-9357-452146821340,37.795139,-122.234002,106.4,178,"De Pinna","Geophysical prospecting surveyor"
Robert,L,McGinty,"985 Ferry Street",Huntsville,35816,RobertLMcGinty@superrito.com,256-788-6971,3e7b7e22-03a3-43eb-9785-3b46b98e51ca,34.837579,-86.682062,94.2,175,"Food Mart","Professional athlete"
Mary,S,Betz,"2277 Coffman Alley",Elizabethtown,42701,MarySBetz@armyspy.com,270-734-0044,0232d95f-1611-4e90-b9be-bb3ccf3bad30,37.76929,-85.764975,77.7,168,"Success Is Yours","Hand sewer"
Chanel,D,Loughman,"2373 Shobe Lane","Glenwood Springs",81601,ChanelDLoughman@rhyta.com,970-384-2044,3f543cc4-d273-4e7f-8f5e-ab46f9c6b732,39.60902,-107.401083,75.5,161,"World of Fun","Real estate manager"
Randy,M,Jacobson,"3268 Hope Street",Portland,97230,RandyMJacobson@teleworm.us,971-678-6325,5fc8c5e4-1a54-419f-b7c5-2b229a5f291a,45.585276,-122.551851,78.4,169,"Glicks Furniture","LAN manager"
Leonard,L,Messer,"1641 Fleming Street",Montgomery,36109,LeonardLMesser@rhyta.com,334-409-3387,b45f361b-9897-4824-b237-a5375775eb42,32.33129,-86.1635,63.1,172,Marianne,Cabinetmaker
Melissa,J,Iles,"2070 Pyramid Valley Road",Oran,50664,MelissaJIles@jourrapide.com,319-638-4703,6bca2858-db90-44d8-b02e-a10838206cb3,42.713885,-91.855489,54.5,172,"Standard Food","Head cook"
Linda,N,Pratt,"4394 Desert Broom Court",Newark,07102,LindaNPratt@rhyta.com,201-719-8079,7d5e63e0-d61f-4c15-8f66-ede80d8389f0,40.8285,-74.205538,84.2,168,"Yesterday's Records","Dog trainer"
Gale,C,Serrano,"540 Nutters Barn Lane","Des Moines",50309,GaleCSerrano@rhyta.com,515-883-2291,a5d214fb-39cb-4110-abe8-48a7b301b070,41.582598,-93.668085,90.3,162,"Kash n' Karry","Plan examiner"
Jerold,A,Espinoza,"3396 Elliott Street","West Lebanon",03784,JeroldAEspinoza@gustr.com,603-530-4485,e7be9ad4-c5d8-46dc-99c4-dc9ed475a21c,43.587475,-72.309324,70.5,169,"Xray Eye & Vision Clinics","Power plant operator"
Benjamin,C,Smith,"2760 Oakdale Avenue","Avon Park",33825,BenjaminCSmith@armyspy.com,863-462-5552,66843b4b-ea98-4255-a56d-d17441de3c44,27.674391,-81.492369,78.1,178,"Wherehouse Music","Woodworking machine operator"
Ginger,M,Williams,"4577 Maple Court",Auxvasse,65231,GingerMWilliams@rhyta.com,573-386-4624,0ce83869-b27e-468a-a499-28b84a06c631,38.972668,-91.936692,98.8,152,"Reliable Guidance","Police dispatcher"
Larry,L,Wix,"1891 Tree Top Lane","Plymouth Meeting",19462,LarryLWix@cuvox.de,610-216-6945,b29a8641-c007-43ef-bdc1-bcfcc9052716,40.033748,-75.37578,73.8,178,"The Pink Pig Tavern","Physician assistant"
Patrick,M,Duran,"2444 Harrison Street","San Francisco",94107,PatrickMDuran@teleworm.us,415-496-9721,9d9bbfb8-c2a7-4af7-b98e-cea904ec8faa,37.765284,-122.446029,98.2,170,"Earl Abel's","Lathe and turning machine tool setter"
Joseph,M,Haslam,"3815 Geraldine Lane","New York",10013,JosephMHaslam@armyspy.com,646-327-9373,4e43f946-6d4a-425d-a17f-c0dd5f625cef,40.659947,-74.013389,71.9,185,"Golden Joy","Hospital attendant"
Johnathan,K,Dean,"4535 Perine Street",Centerville,22020,JohnathanKDean@cuvox.de,703-817-3361,34ac1ce4-ed2b-4aad-9f59-442ce06cd89f,37.737518,-75.605406,89.2,173,"Pro Garden Management","Gynecology nurse"
Frank,M,Rainwater,"2855 Brown Bear Drive",Riverside,92501,FrankMRainwater@gustr.com,951-686-1392,9778e5eb-f71d-467f-8cc1-8060afe9f0bd,33.938295,-117.386494,104.7,184,"Pro-Care Garden Maintenance","Coil winder"
Tia,J,Pilla,"3815 Terra Street",Poulsbo,98370,TiaJPilla@gustr.com,360-315-2398,0b5ef40b-f30a-42d7-9767-a8f38904e450,47.842307,-122.549559,71.6,166,"Farrell's Ice Cream Parlour","Private household cook"
Marc,E,Hardee,"1154 Martha Ellen Drive",Wells,89835,MarcEHardee@gustr.com,775-752-7868,53ecc78a-cc4c-4818-abd0-dceb49be6f47,41.302207,-114.887705,59.0,182,"ABC Markets","Nursing assistant"
Martha,D,Neal,"3159 Irving Road",Athens,45701,MarthaDNeal@jourrapide.com,740-541-7721,159bf73e-e1d0-4bf2-b631-027aef10820b,39.319479,-82.022615,71.8,169,Handyman,"Chemical engineer"
Earnest,R,McGuire,"2443 Elk Creek Road",Norcross,30071,EarnestRMcGuire@teleworm.us,770-525-9720,e66b7dee-b91a-4ec7-9ff3-88bde183546b,33.981288,-84.286468,101.3,168,"Total Quality","Bench carpenter"
Daniel,E,Heise,"3948 Barfield Lane",Indianapolis,46250,DanielEHeise@fleckens.hu,317-567-5011,25794edf-5e4a-40db-b349-6c44bbeefe47,39.889861,-85.975879,105.7,168,"Waccamaw's Homeplace",Locksmith
Arthur,C,Borman,"1493 Preston Street",Erie,66733,ArthurCBorman@cuvox.de,620-912-4021,cdb02ea3-c072-44f2-8338-00caee770517,37.699912,-95.196718,86.4,165,"Forum Cafeterias","Railroad engineer"
Nancy,F,Harper,"3946 Patterson Fork Road",Elmhurst,60126,NancyFHarper@jourrapide.com,312-656-8017,4a357805-dfbf-4260-8e50-2a67cd44245f,41.820661,-87.960765,69.8,150,"Tee Town","Promotions manager"
Vickie,R,Harris,"4957 Windy Ridge Road","Fort Wayne",46805,VickieRHarris@fleckens.hu,260-483-3237,52bc7af1-c85c-483c-8655-25f12d8b0bd9,41.118128,-85.14108,53.9,164,"Saturday Matinee","Engine and other machine assembler"
Emmanuel,H,Clark,"3675 Star Trek Drive",Pensacola,32505,EmmanuelHClark@fleckens.hu,850-324-9969,7a484389-a761-410f-b1ce-f4f058293669,30.538871,-87.302433,105.3,167,HouseWorks!,"Ticket agent"
Joe,J,Denham,"4105 Formula Lane","Mc Kinney",75069,JoeJDenham@gustr.com,469-742-9839,0712fdd1-9bb8-4c0b-ba5e-0e2e7d7597c9,33.281641,-96.613321,53.4,180,"Mr. Clark's Appliances","Respiratory care practitioner"
Tara,T,McMillan,"700 Del Dew Drive",Greenbelt,20770,TaraTMcMillan@gustr.com,301-910-6448,1a1d9ea7-deba-4fe0-bd5e-7e5c73d3b6b2,38.995182,-76.910688,65.4,166,Prestigabiz,"Vending machine technician"
Julianne,W,Yi,"1482 Williams Mine Road",Somerville,08876,JulianneWYi@superrito.com,908-218-9772,88cedbb7-a79f-4c93-8616-f8dca26603fa,40.64517,-74.777833,83.1,156,"Life Plan Counselling","Sales worker"
Carmen,J,Hicks,"4619 Maxwell Farm Road",Sacramento,95814,CarmenJHicks@gustr.com,530-948-9428,82d8826a-901a-4c35-ae13-ba80db55ed43,38.676822,-121.590992,78.6,153,Evans,"Employment, recruitment, and placement specialist"
Ida,P,Maynard,"3168 Brown Avenue",Harriman,37748,IdaPMaynard@gustr.com,865-224-0502,6210d693-ca9e-42de-abb6-460cf035b4eb,35.926053,-84.526989,54.4,165,"Sofa Express","Extruding and forming machine operator"
Kristin,C,White,"469 Central Avenue",Newark,07102,KristinCWhite@dayrep.com,201-351-7270,d9f875b1-99ce-47b7-8d4a-3af50fc3c0d9,40.64482,-74.109411,96.1,157,"The Flying Bear","Dental ceramist"
Kimberly,J,Fulbright,"2778 Rainbow Drive",Akron,44308,KimberlyJFulbright@dayrep.com,330-508-6825,dd38e337-113d-4cbd-865c-eb92843be25b,41.042877,-81.528235,48.9,163,"Western Auto","Bench jeweler"
Danelle,A,Clements,"3143 Blue Spruce Lane",Odenton,21113,DanelleAClements@rhyta.com,410-305-8516,695204ab-5524-4a0c-abfe-ff25fbd6f969,39.029837,-76.725606,97.8,159,"Asian Plan","Greenhouse worker"
Ashley,B,Jackson,"3601 Jones Avenue","Winston Salem",27101,AshleyBJackson@superrito.com,336-779-0138,46f14153-48ed-4254-9def-8cc9be45d75d,36.051597,-80.169441,78.2,162,"Purity Supreme",Zoologist
Maggie,J,Cooke,"2622 White Avenue","Corpus Christi",78476,MaggieJCooke@dayrep.com,361-738-3072,58aca888-a837-4d67-9321-47f4f048301d,27.722956,-97.503809,66.0,161,"Pender's Food Stores","Loan officer"
Martha,C,Key,"4680 Union Street",Seattle,98101,MarthaCKey@teleworm.us,206-779-4329,955bdd59-63e6-49b9-9163-ef339820776d,47.57355,-122.327237,66.2,160,"Jewel Mart","Desk clerk"
Mark,A,Hanson,"107 Park Avenue","Fair Oaks",95628,MarkAHanson@dayrep.com,916-537-5592,2e0dd510-d19f-4924-ad73-8b9ef44bc140,38.670599,-121.299643,94.5,175,"Lone Wolf Wealth Planning","Front office manager"
Leonard,C,Cooksey,"3776 Deer Haven Drive",Greenville,29615,LeonardCCooksey@rhyta.com,864-357-6058,cc25c643-aa95-4df8-a2ea-d7f350e9153f,34.908575,-82.300592,69.4,185,Mikrotechnic,"Fish trimmer"
Markus,A,Acevedo,"556 Eastland Avenue",Jackson,39211,MarkusAAcevedo@dayrep.com,601-345-3438,ab5c6145-8277-40a7-9c2d-cc20e644a614,32.379486,-90.102738,113.8,187,"Bold Ideas","Employee assistance plan manager"
Eunice,S,Politte,"4527 Platinum Drive",Canonsburg,15317,EuniceSPolitte@fleckens.hu,724-745-4207,d5e2a842-a704-4402-8740-8d6e229a86d3,40.359571,-80.267937,91.4,169,"Sun Television and Appliances","Personnel development specialist"
Estelle,R,Belcher,"506 Water Street",Fremont,94539,EstelleRBelcher@jourrapide.com,925-269-1130,ace241e0-1281-49f4-a95f-0c04faab40fc,37.594824,-121.870913,61.8,154,"System Star","Financial planner"
Annette,D,Gantt,"223 Eagle Lane","Cross Lake",56442,AnnetteDGantt@teleworm.us,218-692-8311,59262abd-42fd-4785-98ce-4aedbbb55f7e,46.743901,-93.99995,76.1,162,Heslop's,"Tool filer"
Sandra,L,Crozier,"2455 Green Avenue",Oakland,94612,SandraLCrozier@cuvox.de,510-839-1808,d7bb999b-92e1-4fbf-98a0-3de353ad4389,37.745017,-122.182498,56.1,164,"Foot Quarters","Registered nurse anesthetist"
Ruth,S,Carr,"871 Leroy Lane",Lexington,40505,RuthSCarr@gustr.com,606-212-1459,e3fe2e5a-a333-48e9-9b1d-9c38aad77fcb,38.150875,-84.489791,63.0,154,Multicerv,Commentator
Guillermo,M,Hahn,"4817 Davis Avenue",Fremont,94539,GuillermoMHahn@cuvox.de,707-671-5915,7a090cfb-cd6c-4180-8b35-d90847a5e8ee,37.532481,-121.853815,86.5,167,"Builders Square","Human resources director"
